Year,County,Population,MSW_Collected_Tons,MSW_Landfilled_Tons,MSW_Recycled_Tons,Recycling_Rate
2017,Orange,1313880,3349711,2302860,1046851,31.3
2017,Seminole,454757,705165,422041,283124,40.2
2017,Osceola,337287,418869,361148,57721,13.8
2017,Lake,331724,436139,348914,52744,12.1
2018,Orange,1349597,3653664,2346413,1307251,35.8
2018,Seminole,463560,573440,385642,187798,32.7
2018,Osceola,352500,321840,267993,53847,16.7
2018,Lake,342917,532113,398658,98295,18.5
2019,Orange,1386080,3805786,2521112,1284674,33.8
2019,Seminole,471735,664352,392098,272254,41.0
2019,Osceola,370552,311423,185276,126147,40.5
2019,Lake,357247,567461,354851,100016,17.6
2020,Orange,1415260,3341539,2342051,999488,29.9
2020,Seminole,476727,641144,432181,208963,32.6
2020,Osceola,387055,240010,155236,84774,35.3
2020,Lake,366742,553452,356046,126847,22.9
2021,Orange,1457940,3648877,2669003,979874,26.9
2021,Seminole,477455,650241,467279,182962,28.1
2021,Osceola,406460,206776,146298,60478,29.2
2021,Lake,400142,522411,365025,157151,30.1
2022,Orange,1481321,3646696,2711600,935096,25.6
2022,Seminole,484054,603870,382651,221219,36.6
2022,Osceola,424946,222608,169509,53099,23.9
2022,Lake,403857,573285,404385,132020,23.0
2023,Orange,1492951,4294692,2932852,1361840,31.7
2023,Seminole,486839,654667,450725,203942,31.2
2023,Osceola,439225,300857,251805,49052,16.3
2023,Lake,414749,592351,406496,149435,25.2
2024,Orange,1511568,4199080,2951724,1247356,29.7
2024,Seminole,493282,761004,573210,187794,24.7
2024,Osceola,451231,320836,272850,47986,15.0
2024,Lake,433331,621613,422147,137876,22.2
2025,Orange,1536045,4012767,2825267,1187500,29.6
2025,Seminole,495106,683979,467679,216300,31.6
2025,Osceola,484915,280694,236636,44058,15.7
2025,Lake,445881,771337,476036,152724,19.8
